F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,Ground Truth
13.93704382,-16.46576372,-20.9153917,-18.34771482,-28.11159495,-21.85582713,-12.7266162,-9.553009017,-6.159399374,-12.88162885,0.994250563,-11.42291604,-3.875110569,-2.424672812,-10.21625096,-0.406941426,-2.789523125,-4.074150503,1.944887681,-0.782614264,0.59127118,0.368902715,0.272524206,-0.088970843,-0.423910639,-0.236769567,0
11.57815153,-8.84701273,-16.16937111,-8.341525684,-18.22065939,-23.75736055,-7.897363389,-11.47287153,-2.919092621,-7.251825839,-3.824765456,-6.772454049,-4.872839496,-1.478768486,-3.265070594,-5.83356941,-3.172429953,-2.962779892,-3.60995023,-0.794326262,-0.756582916,-0.635844263,-0.086081884,0.082318931,0.10232883,0.284528553,0
14.23555234,-12.01701058,-25.8897613,-19.33265177,-26.26435611,-27.90292451,-17.80265782,-4.547677093,3.199011336,-17.13039029,0.061452063,-16.94625226,-3.668193032,-3.389773939,-18.33131025,0.412308861,-3.741479517,-3.921542969,0.732111047,-1.323192858,0.254241974,0.0841214,0.211748815,0.048560731,-0.473984528,-0.112501268,0
11.85367612,-6.006755601,-23.31114116,-11.67388301,-18.15747763,-25.26004834,-4.901221064,-12.25889645,3.299111934,0.436701837,-6.398375764,-12.47248271,-5.905925248,-0.709077007,-6.137686439,-3.443206823,-0.573674032,-2.770027053,-3.467387168,-1.420595034,-1.240338879,-0.521286273,-0.058042377,0.064916519,-0.030649451,0.314124251,0
10.94465034,-5.651001084,-13.16343197,-0.408886907,-17.04479286,-32.83722201,-11.46817132,-12.24576744,-5.07415562,-10.4040518,-4.143292427,-2.317856449,-3.709321324,-1.529441132,-5.716326766,-6.404902293,-3.899515459,-4.764908204,-5.499055524,-0.425760021,-1.641383914,-0.763559852,-0.043830808,0.149337967,0.204778303,0.233858107,0
13.5184324,-15.9205525,-20.82477904,-22.17006345,-23.03907918,-20.65717042,-13.43097655,-12.59262391,-2.637848141,-14.36019405,-3.994393552,-11.95502652,-4.060363491,-3.300687988,-9.671181827,-0.333225895,-1.126048259,-1.559307606,1.554529244,0.031077318,0.807624324,0.70359187,0.204871296,-0.165287596,-0.46142734,-0.282234529,0
11.42401817,-11.57331761,-14.00869497,-10.81175017,-17.34756393,-20.64915566,-7.107553058,-12.88861583,-1.066160981,-5.571328232,-3.829400891,-6.723576021,-5.075447825,-3.580642242,-3.280381329,-4.124731626,-3.710483096,-1.946030737,-3.399325003,-0.642424518,-0.945440797,-0.636029831,-0.086509324,0.119463255,0.227440272,0.069503429,0
14.39763962,-5.395380393,-27.86283157,-23.86383804,-32.16276577,-27.41257198,-12.51761177,-10.37207622,-5.841922183,-12.3199984,-3.015652216,-17.70927766,-3.909265976,-6.744818604,-14.36497889,0.741613702,-4.311916003,-4.557939279,1.220333215,-0.879360679,1.007119979,0.520085171,0.373602028,-0.080947879,-0.732181512,-0.39089874,0
11.91171632,-10.13520562,-18.84970333,-13.42125851,-21.87008597,-20.224964,-2.2042312,-13.03345054,-2.414162488,-4.202322268,-4.713669499,-10.01147068,-7.445245759,-1.170290415,-6.549288792,-3.91414671,-1.040463496,-4.271897625,-3.437526569,-1.073387836,-1.357102864,-0.478869767,-0.122130679,0.127335591,0.029414639,0.449494271,0
13.49586815,-16.70333212,-19.52762204,-17.89403476,-27.91921571,-20.73659038,-13.89705502,-11.05043324,-2.903047165,-14.75831376,-0.189295357,-14.31211233,-3.103710051,-4.203436575,-13.75048868,1.293358423,-2.688398944,-4.170906364,1.001704748,-0.629120019,-0.013375821,0.021030537,0.212505856,0.066743092,-0.413928975,0.02253185,0
11.37942241,-9.630213763,-19.2949103,-9.611342715,-18.18044925,-22.67693856,-5.709758959,-11.31347094,4.814790421,-2.887844523,-5.702683502,-9.172980567,-2.69231791,-0.347523941,-7.136281494,-5.02445319,-1.285755862,-2.337298501,-3.435314588,-0.382310123,-0.691058077,-0.561011501,-0.077561987,0.098996738,0.164896328,0.084066969,0
13.34397493,-18.59506883,-20.47719969,-16.94189795,-23.7386613,-18.87960529,-18.14022844,-5.055713894,-2.592069124,-14.71696996,-2.971091417,-11.34342312,-3.099249725,-4.485378745,-14.80484782,-0.343795453,-3.989963453,-3.511510444,-0.271659601,-1.383489518,0.44744631,0.016745084,0.185083805,0.119416837,-0.305335531,0.373004373,0
10.85054599,-10.77409512,-12.78359924,-0.727932145,-21.96784015,-19.87441497,-8.294085107,-17.26640775,-3.77452126,-5.029064406,-2.778433142,-10.15917178,-2.600741104,0.443461379,-6.003450872,-4.857961167,-2.837899773,-4.619810466,-4.306898699,-0.591310043,-1.499260301,-0.620762332,-0.136871272,0.136147839,0.115649317,0.01799246,0
14.1982948,-18.19416702,-18.93991655,-17.44059711,-25.27500741,-16.05497005,-19.24556548,-9.258309989,-1.961680402,-15.6427054,-1.470479914,-11.96536171,0.608911605,-4.848532367,-8.280872378,-1.322273696,-2.505370165,-2.971704789,1.040282477,-0.00471618,0.389160698,0.895881915,0.397281709,-0.079198785,-0.751828246,-0.391160488,0
11.82309328,-2.070736245,-11.67677481,-20.45712583,-27.54367668,-16.51220887,0.437141714,-16.03313771,-5.134392763,-6.39733926,-1.766550242,-3.831730076,-7.674218902,-2.495680424,-5.457183109,-6.988796337,1.047705599,-1.874151323,-4.7542696,-1.137327878,-0.739380259,-0.483669397,-0.040113179,0.146400089,0.284861511,0.514900197,0
14.62674412,-7.675583646,-26.55106202,-21.36660495,-23.77943114,-28.56607413,-16.5051073,-12.8271275,-1.465985097,-17.24556825,-2.476672074,-15.94480151,-7.722574628,-6.857406201,-14.98228245,-2.287612005,-4.723963991,-3.666309743,0.424007182,-1.622455095,0.775050229,0.381516183,0.330662169,-0.066285018,-0.996278964,-0.142924984,0
11.7588596,-18.1986634,-14.57812064,-5.849093901,-20.67783823,-16.92728718,-5.186830524,-13.78736783,-0.825747002,-3.641722146,-4.8479926,-8.281776855,-0.820434864,1.517834561,-6.353112773,-6.160590302,-2.866909515,-2.10312319,-4.070105613,-1.031516118,-0.864033585,-0.439571324,-0.203740198,0.053871589,0.245659323,0.285770842,0
14.27775297,-23.158569,-17.56956404,-19.52890343,-23.20616154,-19.83779091,-17.49444162,-4.317598346,-2.521979276,-11.83744386,-0.663447665,-12.40072004,-2.701768999,0.406412164,-11.47140762,-0.819974456,-2.958310705,-3.213579821,-0.248639091,-0.215848212,0.136602151,0.333750596,0.325253519,-0.154512025,-0.486929242,-0.5390684,0
11.57911723,-17.57783676,-17.07402066,-8.949949489,-17.96726666,-20.20781181,-14.19665233,-10.76076818,-1.070989577,-2.911844915,-2.049549194,-6.52077987,-3.565657263,-1.843039836,-3.772881869,-6.44365066,-4.595080073,-1.62608495,-4.011829448,-1.082284976,-0.647449658,-0.842275119,-0.118766233,0.160502047,0.223463016,0.249270971,0
13.87876318,-25.81241252,-14.32969671,-8.809087717,-22.21592242,-17.67870372,-19.7347589,-8.984413353,-1.088906907,-14.27802626,0.276003237,-7.496508874,0.035953643,-1.701292828,-10.75493046,-0.671988787,-3.014876531,-3.273827317,-0.193668718,-0.293639839,0.320366575,-0.069383073,0.128861899,0.083552787,-0.427177424,0.025874477,0
